Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2024-08-14,55.0912615,0.405133,5455.21,58737.27
2024-08-13,53.4535101,-2.30767,5434.43,60609.57
2024-08-12,53.2320746,-2.5291,5344.39,59354.51
2024-08-11,54.4811783,-1.19121,5344.16,58719.48
2024-08-10,54.4811783,-0.959,5344.16,60945.81
2024-08-09,54.3613755,-0.7849,5344.16,60880.11
2024-08-08,53.916727,-0.92028,5319.31,61710.14
2024-08-07,53.6745549,-1.02925,5199.5,55027.46
2024-08-06,52.8918661,-1.72028,5240.03,56034.32
2024-08-05,52.7581135,-1.85403,5186.33,53991.46
2024-08-04,53.8175317,-0.89766,5346.56,58116.98
2024-08-03,53.8175317,-0.22385,5346.56,60680.09
2024-08-02,54.0391562,0.188465,5346.56,61415.06
2024-08-01,54.9321475,1.846386,5446.68,65357.5
2024-07-31,54.9715947,1.905699,5522.3,64619.25
2024-07-30,54.4013201,0.283537,5436.44,66201.02
2024-07-29,54.5717814,0.350212,5463.54,66819.92
2024-07-28,54.7009217,0.385561,5459.1,68255.87
2024-07-27,54.7009217,0.143225,5459.1,67813.34
2024-07-26,54.7676402,0.558989,5459.1,67912.06
2024-07-25,54.2413741,-0.21961,5399.22,65777.22
2024-07-24,54.8865182,0.254205,5427.13,65372.13
2024-07-23,54.852043,0.122359,5555.74,65927.67
2024-07-22,54.8188592,0.089175,5564.41,67585.25
2024-07-21,54.8563936,0.147476,5505,68154.52
2024-07-20,54.8563936,0.251191,5505,67163.64
2024-07-19,54.8385996,0.572404,5505,66710.15
2024-07-18,55.0211966,0.719006,5544.59,63974.07
2024-07-17,55.2422763,1.208523,5588.27,64118.79
2024-07-16,54.7769698,0.84649,5667.2,65097.15
2024-07-15,54.6861289,0.755649,5631.22,64870.15
2024-07-14,55.7611762,1.908897,5615.35,60787.79
2024-07-13,55.7611762,0.574,5615.35,59231.95
2024-07-12,55.6723893,0.390206,5615.35,57899.47
2024-07-11,55.4401756,1.098604,5584.54,57344.91
2024-07-10,55.1462794,0.411106,5633.91,57742.49
2024-07-09,54.8370087,-0.296,5576.98,58009.23
2024-07-08,54.7038022,-0.42921,5572.85,56705.1
2024-07-07,54.612144,-0.43926,5567.19,55849.11
2024-07-06,54.612144,0.303677,5567.19,58303.54
2024-07-05,54.7151906,0.711027,5567.19,56662.37
2024-07-04,54.041384,-0.23272,5537.02,56977.7
2024-07-03,53.8506912,-1.13399,5537.02,60173.92
2024-07-02,53.0857619,-2.13735,5509.01,62029.02
2024-07-01,53.0658962,-2.15721,5475.09,62851.98
2024-06-30,54.117783,-0.91159,5460.48,62678.29
2024-06-29,54.2215689,-0.76507,5460.48,60887.38
2024-06-28,54.3153605,-0.26417,5460.48,60320.14
2024-06-27,54.5576965,-0.7773,5482.87,61604.8
2024-06-26,54.208651,-2.00105,5477.9,60811.28
2024-06-25,54.4609842,-1.71546,5469.3,61804.64
2024-06-24,54.6323133,-1.54413,5447.87,60277.41
2024-06-23,54.7296843,-1.47784,5464.62,63180.8
2024-06-22,54.7296843,-0.92446,5464.62,64252.58
2024-06-21,54.7089177,-1.40757,5464.62,64096.2
2024-06-20,54.6052025,-1.17273,5473.17,64828.66
2024-06-19,54.2661959,-1.07392,5487.03,64960.3
